,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,Date,Time,Age,merch_country,merch_state
133691,6595970000000000.0,fraud_Hintz-Bruen,grocery_net,16.19,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,47db355767610ef24f6a36b1546d2f5b,41.64395,-74.215707,1,07/08/2020,02:47,55,United States,New York
133756,30199600000000.0,fraud_Hickle Group,shopping_pos,850.9,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,b3b6db54a038f4d98ed369c88051774b,34.346047,-96.202708,1,07/08/2020,03:30,47,United States,Oklahoma
133781,375083000000000.0,fraud_Miller-Harris,misc_net,778.4,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,70382df57e2fa5ce5a91377fd9462149,48.016888,-96.653005,1,07/08/2020,03:56,48,United States,Minnesota
133943,6595970000000000.0,fraud_Parisian and Sons,gas_transport,18.5,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,e6cbba31353032b7e7bc9f69b6a59cb8,40.586809,-74.576538,1,07/08/2020,06:07,55,United States,New Jersey
134048,6595970000000000.0,"fraud_Harris, Gusikowski and Heaney",grocery_net,10.87,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,0e7bb135ec2801b8c33c6dace11a0248,40.104288,-75.053949,1,07/08/2020,07:35,55,United States,Pennsylvania
134348,30199600000000.0,"fraud_Hagenes, Kohler and Hoppe",food_dining,138.22,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,981a7287f961a993009c455602090fa8,32.712568,-95.559436,1,07/08/2020,11:28,47,United States,Texas
134726,6595970000000000.0,fraud_Dickinson Ltd,personal_care,52.82,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,5e2b8e3fec8d862bd83d1048bc7192be,40.870952,-73.768359,1,07/08/2020,15:03,55,United States,New York
135054,375083000000000.0,fraud_Beer-Jast,kids_pets,17.4,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,5a11ae49aef235d54df952d5ee2d0705,46.617234,-97.660782,1,07/08/2020,17:51,48,United States,North Dakota
135278,4518350000000000.0,fraud_Hamill-D'Amore,health_fitness,18.86,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,96ad34b53904db8c40cf30b61ea17705,28.384954,-80.841678,1,07/08/2020,19:46,31,United States,Florida
135478,4518350000000000.0,fraud_Hoppe-Parisian,kids_pets,21.16,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,12424e1052efb80b67270176a0dd1b30,26.693036,-82.674109,1,07/08/2020,21:25,31,No Country found,No State found
135551,375083000000000.0,"fraud_Weber, Thiel and Hammes",kids_pets,21.22,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,19cc7bc8eb934c78de48fc8bc4fe8d91,48.057439,-97.168901,1,07/08/2020,22:02,48,United States,North Dakota
135555,375083000000000.0,fraud_Erdman-Schaden,personal_care,20.96,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,cf197cde737709efaf86c1066b908b62,47.485983,-97.511415,1,07/08/2020,22:06,48,United States,North Dakota
135604,6595970000000000.0,fraud_Kuhic LLC,shopping_net,1171.12,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,cbf796902763fd030c35546f09527cef,39.769553,-75.031189,1,07/08/2020,22:26,55,United States,New Jersey
135610,376445000000000.0,fraud_Hermann and Sons,shopping_pos,1043.4,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,80a1a271990ee56b0c6d5e31013962ee,41.786423,-101.020784,1,07/08/2020,22:27,42,United States,Nebraska
135622,4518350000000000.0,fraud_Smith-Stokes,misc_pos,10.46,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,f0edef50e41d8354cc6f55dab491d23a,26.780913,-80.919804,1,07/08/2020,22:34,31,United States,Florida
135654,30199600000000.0,fraud_Gottlieb Group,kids_pets,20.9,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,cb535f8f79cc09361832c2df456473eb,33.545252,-95.448972,1,07/08/2020,22:48,47,United States,Texas
135676,4518350000000000.0,fraud_Herman Inc,misc_pos,7.8,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,a2be7e96f8b9302f6ea62a4bf0aeaffa,27.908464,-81.273777,1,07/08/2020,22:59,31,United States,Florida
135723,6595970000000000.0,fraud_Terry-Huel,shopping_net,815.62,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,40ec2eb509eee02156eb1fc5bd164247,41.507465,-74.528902,1,07/08/2020,23:17,55,United States,New York
135726,375083000000000.0,fraud_Heaney-Marquardt,entertainment,498.78,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,a9e8385170dbd301101eff3695e161ca,46.493104,-97.390103,1,07/08/2020,23:18,48,United States,North Dakota
135733,376445000000000.0,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,1079.08,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,38633a56e0f918113fb9fba82fd55148,41.779142,-100.942277,1,07/08/2020,23:23,42,United States,Nebraska
135742,376445000000000.0,"fraud_Lakin, Ferry and Beatty",food_dining,127.17,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,c9d60e46517a66d3fc31737736dd4e2f,41.550923,-100.194191,1,07/08/2020,23:26,42,United States,Nebraska
135761,376445000000000.0,fraud_Swift PLC,kids_pets,22.62,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,18af4df0c5afda3d524cff8bb6ef5f92,40.457291,-101.045061,1,07/08/2020,23:37,42,United States,Nebraska
135773,376445000000000.0,fraud_Friesen Ltd,health_fitness,20.84,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,78f5e7b210280752236ec2347977c917,40.450803,-101.814364,1,07/08/2020,23:43,42,United States,Nebraska
135787,6595970000000000.0,"fraud_Moen, Reinger and Murphy",grocery_pos,333.49,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,25c21a1fe8f04865ae0c5aafa3d41b61,40.111432,-75.304048,1,07/08/2020,23:48,55,United States,Pennsylvania
135808,30199600000000.0,fraud_Terry Ltd,home,228.94,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,e7adea19f8f25742aece0d31b0585a94,33.939739,-96.337567,1,07/08/2020,23:57,47,United States,Oklahoma
135840,4476840000000.0,"fraud_Tillman, Dickinson and Labadie",gas_transport,8.3,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,6808fe151eb67085a7942f3b0040b391,34.143005,-87.163133,1,08/08/2020,00:13,45,United States,Alabama
135849,343819000000000.0,fraud_Berge LLC,gas_transport,9.46,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,eae4540e06b3f0158a76ccb86106d901,42.241052,-93.266219,1,08/08/2020,00:19,68,United States,Iowa
135973,376445000000000.0,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,1107.33,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,563f710e03fe0a2e06eebeb46307bbaf,40.427648,-100.746378,1,08/08/2020,02:02,42,United States,Nebraska
135977,375083000000000.0,"fraud_Bernier, Streich and Jewess",grocery_net,8.22,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,dd7f4a98118c7435e2e2d41ce2266976,46.831307,-96.349532,1,08/08/2020,02:04,48,United States,Minnesota
135983,376445000000000.0,"fraud_Altenwerth, Cartwright and Koss",shopping_net,882.83,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,ed037bf9087620bade94230a48f44a84,42.010574,-102.108069,1,08/08/2020,02:07,42,United States,Nebraska
135993,376445000000000.0,fraud_Kutch and Sons,grocery_pos,358.55,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,398c9d221d4fb18eaff5af1007044de0,41.571712,-101.868459,1,08/08/2020,02:13,42,United States,Nebraska
135994,376445000000000.0,fraud_Pacocha-Bauch,shopping_pos,1051.31,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,f2168997827ec90bb1c46ef25dbfc8dd,42.080129,-101.566291,1,08/08/2020,02:13,42,United States,Nebraska
135996,4476840000000.0,fraud_Kuvalis Ltd,gas_transport,11.6,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,b93c1ddf3741b95405bf48510bf1ba95,34.692893,-85.278239,1,08/08/2020,02:15,45,United States,Georgia
136025,375083000000000.0,"fraud_Bins, Balistreri and Beatty",shopping_pos,819.05,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,d2680463b43aa827680eec7b6c26305e,47.079307,-97.195856,1,08/08/2020,02:36,48,United States,North Dakota
136032,4476840000000.0,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,762.62,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,62ad0340ed20d75709c28d938209fca3,34.249657,-85.394735,1,08/08/2020,02:40,45,United States,Georgia
136086,4476840000000.0,"fraud_Ferry, Lynch and Kautzer",misc_net,766.03,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,9376217246d97b643b9da6da457bbce0,34.445289,-86.869177,1,08/08/2020,03:16,45,United States,Alabama
136102,375083000000000.0,"fraud_Parisian, Schiller and Altenwerth",misc_net,954.19,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,bbf9fd1375c52b89e5a15ed9158b1560,46.918994,-95.855367,1,08/08/2020,03:31,48,United States,Minnesota
136114,375083000000000.0,fraud_Bailey-Morar,grocery_pos,364.36,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,527a8c4a823ddaaedb3d143239f932c0,47.221459,-97.331413,1,08/08/2020,03:41,48,United States,North Dakota
136138,375083000000000.0,fraud_Schamberger-O'Keefe,grocery_pos,327.12,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,954d589226e71cf362acae9ae28ebc66,46.479977,-96.524942,1,08/08/2020,03:53,48,United States,Minnesota
136481,4476840000000.0,"fraud_Lockman, West and Runte",grocery_pos,284.14,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,b9c7cacd0dc9537bafd64a207a6afa12,33.679775,-85.926354,1,08/08/2020,08:25,45,United States,Alabama
137758,376445000000000.0,fraud_Barton LLC,kids_pets,20.67,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,c0df88b80a8e6b48edf5a7c5826dfb20,41.015482,-102.118026,1,08/08/2020,20:29,42,United States,Nebraska
137935,343819000000000.0,fraud_Kovacek Ltd,travel,10.45,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,873e753bf1a897daf144b2fe9b039fd2,41.593729,-94.291725,1,08/08/2020,22:02,68,United States,Iowa
137946,343819000000000.0,"fraud_Berge, Kautzer and Harris",personal_care,21.7,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,2674f6a8895b894bd1c93c208d7e7d8d,42.366847,-92.708153,1,08/08/2020,22:07,68,United States,Iowa
137951,343819000000000.0,fraud_Kris-Padberg,shopping_pos,877.38,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,46b7d863b316eb5e0850ea5d767c5cdb,41.539204,-94.26698,1,08/08/2020,22:13,68,United States,Iowa
137964,343819000000000.0,fraud_Terry-Huel,shopping_net,931.91,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,5b810f68af2b0c1dcb8a138c55c71905,41.129931,-94.381911,1,08/08/2020,22:17,68,United States,Iowa
137984,343819000000000.0,"fraud_Mosciski, Gislason and Mertz",grocery_pos,290.4,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,46d0fa9918809a768f5475128d3d76c7,41.967764,-93.884543,1,08/08/2020,22:25,68,United States,Iowa
137986,343819000000000.0,fraud_Howe PLC,entertainment,471.23,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,e945cebdbeafc4fe0eb71b9a10d867f7,41.156542,-94.007862,1,08/08/2020,22:26,68,United States,Iowa
137994,376445000000000.0,"fraud_Hagenes, Hermann and Stroman",travel,10.62,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,844be598e478cbf1ec433e87b419fa8c,40.66627,-101.860761,1,08/08/2020,22:29,42,United States,Nebraska
138063,375083000000000.0,fraud_Brown Inc,kids_pets,19.92,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,87ab42820eda8ee629eb698d8c9b485f,46.801282,-97.322618,1,08/08/2020,23:04,48,United States,North Dakota
138072,376445000000000.0,"fraud_Schroeder, Hauck and Treutel",entertainment,510.36,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,15cbe4ad9e7a930a24e1f66a0c483ff0,41.880136,-100.329785,1,08/08/2020,23:08,42,United States,Nebraska
138152,376445000000000.0,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,22.93,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,51e8bfa7fa6deacc3cc6eed911b20dfd,42.016051,-101.568851,1,08/08/2020,23:41,42,United States,Nebraska
138172,376445000000000.0,fraud_Crona and Sons,kids_pets,18.74,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,fe9a85156e35e083ab59bdc74d97bb68,42.010375,-101.381529,1,08/08/2020,23:50,42,United States,Nebraska
138234,4476840000000.0,fraud_Sporer Inc,gas_transport,7.3,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,0358e5bc11e45d42152dc5ac5232f88a,33.732201,-85.577428,1,09/08/2020,00:15,45,United States,Alabama
138357,4476840000000.0,fraud_Erdman-Kertzmann,gas_transport,7.38,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,492469e69f459c0628e0f45f0d669c49,34.238801,-86.929008,1,09/08/2020,01:24,45,United States,Alabama
138440,343819000000000.0,fraud_Stracke-Lemke,grocery_pos,309.21,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,46b75e79f42638c6d781fd0556e40319,40.899447,-94.021909,1,09/08/2020,02:13,68,United States,Iowa
138539,343819000000000.0,fraud_Rau and Sons,grocery_pos,327.62,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,9a5d96f89cea6e9f6c103217134ee4bd,40.644497,-94.336415,1,09/08/2020,02:59,68,United States,Iowa
138644,4476840000000.0,fraud_Wolf Inc,grocery_pos,305.37,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,db169215fd91b3ce34cb0bbab4b78059,34.639257,-85.256179,1,09/08/2020,03:50,45,United States,Georgia
141467,4476840000000.0,fraud_Abbott-Steuber,personal_care,21.55,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,297df29e2619dcfbd3f97e90b3b49c84,34.878111,-85.594797,1,09/08/2020,22:30,45,United States,Alabama
141558,4476840000000.0,fraud_Schoen-Quigley,kids_pets,20.36,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,27aa8bc3f3bc59afbc70383a93f8e5e7,35.630851,-85.359889,1,09/08/2020,23:12,45,United States,Tennessee
141587,343819000000000.0,"fraud_Towne, Greenholt and Koepp",shopping_net,897.98,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,f5ee082c3221273f02ecc6ab6decd201,41.1751,-93.983309,1,09/08/2020,23:23,68,United States,Iowa
141602,343819000000000.0,fraud_Stoltenberg-Beatty,shopping_pos,1109.56,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,afe34d8a0768c9e39a03e23d89aa482e,41.517289,-94.175861,1,09/08/2020,23:26,68,United States,Iowa
141633,343819000000000.0,fraud_Kutch and Sons,grocery_pos,280.74,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,efd732b11c3b0c8bc75a7e8dc0482b8a,41.621656,-94.10289,1,09/08/2020,23:37,68,United States,Iowa
141703,30238800000000.0,"fraud_Reichert, Shanahan and Hayes",shopping_net,935.97,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,5bf49200a25f4f37e7e90a039c460dbc,30.055517,-97.840498,1,10/08/2020,00:11,48,United States,Texas
141890,30238800000000.0,"fraud_Swaniawski, Lowe and Robel",shopping_pos,862.53,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,b19be96e070fa47f97a23ad9852fcc91,30.828323,-96.652547,1,10/08/2020,01:37,48,United States,Texas
142143,30238800000000.0,fraud_Cummerata-Jones,gas_transport,11.17,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,17afa1e98c9f427f4c4c7bfc0654f248,30.611255,-98.145016,1,10/08/2020,03:41,48,United States,Texas
142661,30238800000000.0,fraud_Zemlak Group,misc_net,876.32,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,8dc78b2c20809e482c81d52ccb644de9,31.035343,-97.140385,1,10/08/2020,07:38,48,United States,Texas
144024,30238800000000.0,fraud_Collier LLC,home,229.83,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,0032501057a8306fb8189d8c8cd6276b,29.996709,-98.195081,1,10/08/2020,16:15,48,United States,Texas
145304,30238800000000.0,fraud_Fadel Inc,health_fitness,21.69,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,c539a6b6e3da995e879679a50789e9dc,31.308748,-96.314079,1,10/08/2020,22:15,48,United States,Texas
145308,30238800000000.0,fraud_Langworth LLC,personal_care,20.71,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,3a3916592fd587b5328e7d291bd1c6c6,31.222918,-96.833305,1,10/08/2020,22:16,48,United States,Texas
145575,30238800000000.0,"fraud_Bahringer, Osinski and Block",food_dining,97.93,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,e51c2ba9f29c482b51e7bd96a406cf9c,30.936854,-96.940349,1,10/08/2020,23:31,48,United States,Texas
145655,30238800000000.0,fraud_Erdman-Schaden,personal_care,18.31,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,ec91a02362ab0615a18e91de6280550c,29.612195,-97.617793,1,10/08/2020,23:56,48,United States,Texas
145706,4335530000000000.0,"fraud_Moore, Dibbert and Koepp",misc_net,838.98,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,8eaa38d778d7123f997477d251fd6196,38.265701,-92.409485,1,11/08/2020,00:20,26,United States,Missouri
145731,4335530000000000.0,fraud_Koepp-Parker,grocery_pos,313.0,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,721662305df96a1e25ece300966489ae,38.063266,-91.843684,1,11/08/2020,00:31,26,United States,Missouri
145808,4335530000000000.0,fraud_Kilback LLC,grocery_pos,262.6,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,64df47e66c3d369380b55a201f598bd2,38.32393,-91.230848,1,11/08/2020,01:12,26,United States,Missouri
145955,343746000000000.0,fraud_Flatley-Durgan,misc_net,828.34,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,9ef0b64784755614866a6c8edb83ff00,45.118237,-85.329788,1,11/08/2020,02:12,49,United States,Michigan
146034,30238800000000.0,"fraud_Bernhard, Grant and Langworth",shopping_pos,1024.17,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,a6d419e680161b662d8b7ce7b0ef11c3,30.038315,-96.858207,1,11/08/2020,02:56,48,United States,Texas
146158,4335530000000000.0,fraud_Strosin-Cruickshank,grocery_pos,331.19,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,20d8cc87adc828ef5c431b03b9791e00,38.292143,-90.639838,1,11/08/2020,03:48,26,United States,Missouri
146170,4335530000000000.0,fraud_Kunze Inc,grocery_pos,315.01,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,e464407315e9dfde91351ea0596e5580,37.436188,-91.8161,1,11/08/2020,03:53,26,United States,Missouri
146491,30238800000000.0,fraud_Wisozk and Sons,misc_pos,812.95,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,674a819c75018cdb9934d99fce829940,30.925335,-98.208483,1,11/08/2020,06:18,48,United States,Texas
147273,2284060000000000.0,"fraud_Roob, Conn and Tremblay",shopping_pos,927.37,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,4ec2dc024979ae9f3fd90f02e8e0d93b,38.237695,-85.964789,1,11/08/2020,12:11,55,United States,Indiana
149101,4335530000000000.0,fraud_Bashirian Group,shopping_net,1125.06,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,10bcbe287fdbeab86b845becb57150bd,38.696249,-91.30544,1,11/08/2020,22:00,26,United States,Missouri
149124,2284060000000000.0,fraud_Kozey-Boehm,shopping_net,976.39,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,c9a21093343049f756e4c7ee6e99fd5f,39.788616,-84.526363,1,11/08/2020,22:06,55,United States,Ohio
149190,2284060000000000.0,"fraud_Schroeder, Wolff and Hermiston",travel,9.12,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,99d441a46dd4dd20a9a145f15ef12d27,38.673654,-84.984961,1,11/08/2020,22:25,55,United States,Kentucky
149204,343746000000000.0,"fraud_Goyette, Howell and Collier",shopping_pos,736.46,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,65b3114324ad0fa5677c6e82187ef46f,45.549899,-85.355982,1,11/08/2020,22:27,49,United States,Michigan
149260,343746000000000.0,fraud_Beier-Hyatt,shopping_pos,873.99,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,241d07ebb748c575c59da4e10370c12d,44.887635,-86.106143,1,11/08/2020,22:45,49,United States,Michigan
149290,2284060000000000.0,fraud_Auer-West,shopping_net,1042.58,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,03943ff78a83d9d976608ab4fe95de16,39.461273,-85.966818,1,11/08/2020,22:55,55,United States,Indiana
149298,4335530000000000.0,"fraud_Streich, Dietrich and Barton",shopping_net,1046.78,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,b976a0235621cc119f5238d1fa484c5a,38.123875,-91.703268,1,11/08/2020,22:59,26,United States,Missouri
149303,343746000000000.0,fraud_Hills-Witting,shopping_net,1024.84,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,65e1ff761ef190a881cb081a7987d021,45.052403,-84.841629,1,11/08/2020,23:00,49,United States,Michigan
